-;-;-;-;-;X;Y
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BEL;Gg_CO2;2008;120181.246234048
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BEL;Gg_CO2;2009;107711.767068392
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BEL;Gg_CO2;2010;114543.696724006
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BEL;Gg_CO2;2011;105025.678360178
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BEL;Gg_CO2;2012;102385.919958278
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BEL;Gg_CO2;2013;102652.45475436
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BEL;Gg_CO2;2014;96867.6922635435
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BEL;Gg_CO2;2015;101055.513937756
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BEL;Gg_CO2;2016;99872.1383768293
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BEL;Gg_CO2;2017;99448.1352967985
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BEL;Gg_CO2;2018;100227.168874225
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BEL;Gg_CO2;2019;99745.7818297321
---EOD---
